id;name;description;active_from;active_to
1;definition Chips;Berkshire Idaho;2022-01-31T05:05:00;2022-01-31T03:59:40
2;integrate benchmark magenta;e-markets application generate;2022-01-31T12:11:14;2022-01-31T06:19:14
3;Account Kansas Chips;hierarchy Kentucky;2022-01-31T09:56:33;2022-01-31T10:26:07
4;maroon Lake;Cotton cyan;2022-01-31T11:57:21;2022-01-31T13:24:25
5;streamline;Orchestrator;2022-01-31T16:16:18;2022-01-31T05:56:51
6;Maryland;Berkshire orchestration Light;2022-01-31T09:52:39;2022-01-31T11:31:59
7;XML;Intuitive Berkshire Rubber;2022-01-31T11:12:24;2022-01-31T18:12:42
8;paradigms Beauty zero;SSL indexing;2022-01-31T19:12:25;2022-01-30T22:19:35
9;d'Ivoire Music;deploy;2022-01-31T12:38:07;2022-01-31T14:48:28
10;white disintermediate context-sensitive;Unit Computer Specialist;2022-01-30T20:00:23;2022-01-31T16:32:00
