id;name;description;version_number;status;active_from;active_to
1;Wooden turquoise software;grey hardware Intranet;60742;Bacon Loan;2022-01-31T09:21:30;2022-01-31T07:11:39
2;invoice Intelligent;Industrial Cheese navigate;19669;virtual;2022-01-31T17:01:19;2022-01-31T15:52:59
3;Movies deposit Assistant;Industrial;6510;Intelligent compress Paradigm;2022-01-31T19:13:15;2022-01-31T12:35:16
4;Rhode deliver lavender;Dominican Estates azure;91610;Quality Implementation;2022-01-30T23:37:01;2022-01-31T05:06:06
5;Hat cultivate Shoes;Loan Gorgeous Books;28247;Orchestrator;2022-01-31T02:21:41;2022-01-31T17:51:50
6;web-readiness matrix GB;Berkshire synthesize Kentucky;10848;Multi-lateral Cotton Borders;2022-01-31T15:36:31;2022-01-31T00:16:11
7;transmitter 1080p;Awesome Handcrafted;79495;invoice;2022-01-31T00:08:20;2022-01-30T20:43:05
8;Dollar HTTP sexy;solution protocol Auto;1633;context-sensitive Product database;2022-01-31T06:31:57;2022-01-31T18:20:19
9;deposit;quantifying Industrial USB;96264;Data payment;2022-01-31T18:39:42;2022-01-31T06:22:38
10;Burg;interactive;68128;Automotive deposit Pants;2022-01-31T05:29:42;2022-01-30T23:29:05
