id;description;item_type;item_code;unit_type;quantity;sales_total;total;value_difference;total_taxable_fees;net_total;items_discount;internal_code
1;yellow;quantify;ADP;infomediaries high-level coherent;23930;43513;17163;52637;81813;61217;45053;Bedfordshire Optimization
2;Avon;niches Borders;blue;Steel Loan;731;19960;45825;28062;97912;96331;45985;Configuration Card metrics
3;Internal Dynamic;driver;Reverse-engineered engage;Buckinghamshire Engineer applications;11111;33147;51665;41173;14610;82055;60927;indexing capacity Dynamic
4;Handmade salmon;Corporate New silver;partnerships;Coordinator;23415;34917;39050;5878;62980;48362;4392;Wyoming
5;transmitting Books;Handmade client-driven;Chicken;tolerance Montana American;25814;81924;55540;15785;16295;2714;97301;Koruna RSS Intelligent
6;knowledge;generate and;bus Intelligent;Wooden SMTP users;64436;62896;90651;59926;80650;31052;42910;TCP Wooden Rupee
7;gold;copy Alley;Wooden;viral Savings;56442;82629;55498;61176;36874;43302;21271;Facilitator paradigms
8;hack connect Fantastic;Avon Frozen;Applications cross-platform;payment;87478;62786;217;98857;57720;24543;53750;primary synthesize
9;Associate;Buckinghamshire Buckinghamshire;fault-tolerant hack envisioneer;Generic matrices;14391;97333;29667;94638;45446;7364;19991;AGP Soft
10;projection Sports incentivize;back payment Shirt;invoice payment;Massachusetts neural-net Soap;32827;17551;17450;55668;78229;88578;36261;calculating
