id;tax_type;amount;sub_type;rate
1;alliance Checking zero;37639;supply-chains Tasty Won;27108
2;Indiana transmit intermediate;69359;facilitate drive Chips;22337
3;Account Kyrgyz Usability;56736;Kwacha;68736
4;Computer Account;69970;end-to-end back Colorado;50949
5;copy;25704;mobile;49067
6;Computers haptic;41180;Grocery Shoal;44404
7;invoice Agent Functionality;8356;Manor red niches;74281
8;Cotton heuristic;89403;global Locks;79702
9;Frozen online Movies;79529;Wooden;89713
10;Markets;71101;user-centric transmitter compressing;88345
