id;parameter;value;active_from;active_to
1;compressing portals Ports;47920;2022-01-31T06:21:33;2022-01-31T12:38:45
2;next-generation;36706;2022-01-31T05:27:47;2022-01-31T17:13:43
3;Uzbekistan;97398;2022-01-31T12:58:58;2022-01-31T10:30:28
4;Market bypass;15065;2022-01-31T13:46:59;2022-01-31T18:45:57
5;North Australia;90385;2022-01-31T03:53:43;2022-01-31T01:00:06
6;interactive info-mediaries AI;48356;2022-01-31T15:41:56;2022-01-30T21:21:37
7;experiences mint Bacon;67400;2022-01-30T19:37:04;2022-01-30T21:48:01
8;Synergized Viaduct Human;79468;2022-01-30T19:51:47;2022-01-31T14:59:57
9;generating;40736;2022-01-31T10:09:32;2022-01-30T23:10:34
10;Home;11799;2022-01-31T02:31:51;2022-01-31T04:30:43
